0.0236	0	-0.0011555
0.0236	0.01	-0.0011113
0.0236	0.02	-0.0010725
0.0236	0.03	-0.0010229
0.0236	0.04	-0.00094634
0.0236	0.05	-0.00080899
0.0236	0.06	-0.000615
0.0236	0.07	-0.00040495
0.0236	0.08	-0.0002194
0.0236	0.09	-0.00012538
0.0236	0.1	-8.957e-05
0.0236	0.11	-2.0786e-06
0.0236	0.12	0.000247
0.0236	0.13	0.00077311
0.0236	0.14	0.0015722
0.0236	0.15	0.0025749
0.0236	0.16	0.003712
0.0236	0.17	0.00536
0.0236	0.18	0.0075312
0.0236	0.19	0.0096097
0.0236	0.2	0.010979
0.0236	0.21	0.010929
0.0236	0.22	0.0096385
0.0236	0.23	0.0078282
0.0236	0.24	0.0062188
0.0236	0.25	0.0047806
0.0236	0.26	0.0031714
0.0236	0.27	0.0016427
0.0236	0.28	0.00044639
0.0236	0.29	-5.7359e-05
0.0236	0.3	6.3381e-05
0.0236	0.31	0.00041766
0.0236	0.32	0.00061452
0.0236	0.33	0.00055455
0.0236	0.34	0.00042782
0.0236	0.35	0.00027761
0.0236	0.36	0.0001472
0.0236	0.37	5.0655e-05
0.0236	0.38	-3.2347e-05
0.0236	0.39	-0.00011016
0.0236	0.4	-0.00019112
0.0236	0.41	-0.00028214
0.0236	0.42	-0.00037744
0.0236	0.43	-0.00046638
0.0236	0.44	-0.0005383
0.0236	0.45	-0.00057616
0.0236	0.46	-0.00058138
0.0236	0.47	-0.00057106
0.0236	0.48	-0.00056225
0.0236	0.49	-0.00055351
0.0236	0.5	-0.00053494
0.0236	0.51	-0.000511
0.0236	0.52	-0.00048611
0.0236	0.53	-0.00045344
0.0236	0.54	-0.0004117
0.0236	0.55	-0.0003736
0.0236	0.56	-0.0003519
0.0236	0.57	-0.00036696
0.0236	0.58	-0.00041443
0.0236	0.59	-0.00046995
0.0236	0.6	-0.00050915
0.0236	0.61	-0.00051778
0.0236	0.62	-0.00050594
0.0236	0.63	-0.00048584
0.0236	0.64	-0.00046969
0.0236	0.65	-0.00045009
0.0236	0.66	-0.00042401
0.0236	0.67	-0.00041017
0.0236	0.68	-0.0004273
0.0236	0.69	-0.0005198
0.0236	0.7	-0.00068102
